stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,tts_stop_name
E27-T1,Redmond Technology,47.644424,-122.133556,,Redmond Technology to/from South Bellevue,E27,https://www.soundtransit.org/ride-with-us/stops-stations/redmond-technology-station,,E27,1.0,America/Los_Angeles,1.0,
E27-T2,Redmond Technology,47.645199,-122.133673,,Redmond Technology to/from South Bellevue,E27,https://www.soundtransit.org/ride-with-us/stops-stations/redmond-technology-station,,E27,1.0,America/Los_Angeles,2.0,
E29-T1,Marymoor Village,47.667166,-122.110398,,Marymoor Village to South Bellevue,E29,https://www.soundtransit.org/ride-with-us/stops-stations/marymoor-village-station,,E29,1.0,America/Los_Angeles,1.0,
E29-T2,Marymoor Village,47.667381,-122.109118,,Marymoor Village to Downtown Redmond,E29,https://www.soundtransit.org/ride-with-us/stops-stations/marymoor-village-station,,E29,1.0,America/Los_Angeles,2.0,
E31-T1,Downtown Redmond,47.671467,-122.117864,,Downtown Redmond to/from South Bellevue,E31,https://www.soundtransit.org/ride-with-us/stops-stations/downtown-redmond-station,,E31,1.0,America/Los_Angeles,1.0,
E31-T2,Downtown Redmond,47.671788,-122.118952,,Downtown Redmond to/from South Bellevue,E31,https://www.soundtransit.org/ride-with-us/stops-stations/downtown-redmond-station,,E31,1.0,America/Los_Angeles,2.0,
N15-T1,Shoreline South/148Th,47.736499,-122.325446,,Shoreline South to Lynnwood,N15,https://www.soundtransit.org/ride-with-us/stops-stations/shoreline-south-148th-station,,N15,1.0,America/Los_Angeles,1.0,shoreline south and one forty eighth
N15-T2,Shoreline South/148Th,47.735753,-122.32504,,Shoreline South to Federal Way,N15,https://www.soundtransit.org/ride-with-us/stops-stations/shoreline-south-148th-station,,N15,1.0,America/Los_Angeles,2.0,shoreline south and one forty eighth
N17-T1,Shoreline North/185Th,47.764477,-122.322731,,Shoreline North to Lynnwood,N17,https://www.soundtransit.org/ride-with-us/stops-stations/shoreline-north-185th-station,,N17,1.0,America/Los_Angeles,1.0,shoreline north and one eighty fifth
N17-T2,Shoreline North/185Th,47.763699,-122.323048,,Shoreline North to Federal Way,N17,https://www.soundtransit.org/ride-with-us/stops-stations/shoreline-north-185th-station,,N17,1.0,America/Los_Angeles,2.0,shoreline north and one eighty fifth
