shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
1-SHUTTLE-A-NB,13332,47.51372,-122.27871,9060.3
1-SHUTTLE-A-NB,13333,47.51442,-122.27879,9138.37
1-SHUTTLE-A-NB,13334,47.51491,-122.27884,9192.98
1-SHUTTLE-A-NB,13335,47.51545,-122.2789,9253.19
1-SHUTTLE-A-NB,13336,47.51574,-122.27894,9285.58
1-SHUTTLE-A-NB,13337,47.5159,-122.27897,9303.51
1-SHUTTLE-A-NB,13338,47.51603,-122.27899,9318.05
1-SHUTTLE-A-NB,13339,47.51632,-122.27904,9350.51
1-SHUTTLE-A-NB,13340,47.51661,-122.2791,9383.07
1-SHUTTLE-A-NB,13341,47.51671,-122.27912,9394.29
1-SHUTTLE-A-NB,13342,47.51708,-122.2792,9435.87
1-SHUTTLE-A-NB,13343,47.51726,-122.27924,9456.11
1-SHUTTLE-A-NB,13344,47.51736,-122.27926,9467.33
1-SHUTTLE-A-NB,13345,47.51751,-122.2793,9484.28
1-SHUTTLE-A-NB,13346,47.51788,-122.2794,9526.1
1-SHUTTLE-A-NB,13347,47.51826,-122.27949,9568.89
1-SHUTTLE-A-NB,13348,47.51847,-122.27955,9592.67
1-SHUTTLE-A-NB,13349,47.5194,-122.27976,9697.28
1-SHUTTLE-A-NB,13350,47.51966,-122.27979,9726.28
1-SHUTTLE-A-NB,13351,47.51992,-122.27981,9755.23
1-SHUTTLE-A-NB,13352,47.52022,-122.27979,9788.62
1-SHUTTLE-A-NB,13353,47.52059,-122.27975,9829.87
1-SHUTTLE-A-NB,13354,47.52061,-122.27974,9832.22
1-SHUTTLE-A-NB,13355,47.52082,-122.2797,9855.76
1-SHUTTLE-A-NB,13356,47.52129,-122.27957,9908.93
1-SHUTTLE-A-NB,13357,47.52161,-122.27948,9945.15
1-SHUTTLE-A-NB,13358,47.52197,-122.27937,9986.02
1-SHUTTLE-A-NB,13359,47.52226,-122.27928,10018.97
1-SHUTTLE-A-NB,13360,47.5227,-122.27915,10068.86
1-SHUTTLE-A-NB,13361,47.52278,-122.27913,10077.88
1-SHUTTLE-A-NB,13362,47.52295,-122.27908,10097.15
1-SHUTTLE-A-NB,13363,47.52312,-122.27904,10116.29
1-SHUTTLE-A-NB,13364,47.52326,-122.279,10132.14
1-SHUTTLE-A-NB,13365,47.52339,-122.27896,10146.91
1-SHUTTLE-A-NB,13366,47.52354,-122.27893,10163.74
1-SHUTTLE-A-NB,13367,47.52372,-122.27889,10183.98
1-SHUTTLE-A-NB,13368,47.52383,-122.27888,10196.23
1-SHUTTLE-A-NB,13369,47.52416,-122.2788,10233.42
1-SHUTTLE-A-NB,13370,47.52427,-122.27877,10245.85
1-SHUTTLE-A-NB,13371,47.52465,-122.27871,10288.35
1-SHUTTLE-A-NB,13372,47.52493,-122.27871,10319.48
1-SHUTTLE-A-NB,13373,47.52523,-122.27873,10352.87
1-SHUTTLE-A-NB,13374,47.5254,-122.27876,10371.91
1-SHUTTLE-A-NB,13375,47.52557,-122.2788,10391.05
1-SHUTTLE-A-NB,13376,47.5256,-122.27881,10394.47
1-SHUTTLE-A-NB,13377,47.52573,-122.27886,10409.4
1-SHUTTLE-A-NB,13378,47.52599,-122.27899,10439.92
1-SHUTTLE-A-NB,13379,47.52612,-122.27906,10455.3
1-SHUTTLE-A-NB,13380,47.52624,-122.27913,10469.64
1-SHUTTLE-A-NB,13381,47.52778,-122.27992,10650.86
1-SHUTTLE-A-NB,13382,47.52788,-122.27998,10662.86
1-SHUTTLE-A-NB,13383,47.5281,-122.28009,10688.68
1-SHUTTLE-A-NB,13384,47.52838,-122.28023,10721.54
1-SHUTTLE-A-NB,13385,47.52861,-122.28033,10748.2
1-SHUTTLE-A-NB,13386,47.52874,-122.28038,10763.13
1-SHUTTLE-A-NB,13387,47.52896,-122.28044,10788.0
1-SHUTTLE-A-NB,13388,47.52921,-122.28049,10816.06
1-SHUTTLE-A-NB,13389,47.52957,-122.28054,10856.26
